CT_Num;CT_SoldeActuel;CT_Engagement;CT_ChiffreAffaire;CT_EchusUnMois;CT_EchusDeuxMois;CT_EchusTroisMois;CT_EchusPlusTroisMois;CT_MoyenneDelaiPayement;CT_MoyenneDelaiImpaye
8010033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010039;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010040;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010041;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010046;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010050;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010060;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010063;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL0001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL007;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000010;5066.342;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL010;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000011;12.491;15100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000012;2.186;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL019;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL020;0.0;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL021;0.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL022;0.0;3000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL023;0.0;3500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL026;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL027;0.0;8000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000013;33.246;20000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL031;0.0;60000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL032;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000014;509.889;64000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL034;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL037;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000015;549.849;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL040;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL041;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL043;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000017;26913.46;30000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL045;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL046;0.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000018;52.166;7500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000019;15.112;12000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL050;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL053;0.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL054;0.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL055;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL056;0.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000020;1096.553;100000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL059;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL060;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000022;14687527.477;20000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL063;0.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL065;0.0;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL069;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000025;-1.824;25000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000026;-9.957;10507.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL072;0.0;7000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL073;0.0;3000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000027;3.077;20000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000028;0.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL076;0.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000030;-4676.39;25000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL080;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL081;0.0;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000031;49.989;20000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL083;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000032;31389.974;40000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL086;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL088;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL089;2668.8;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL090;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL092;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL093;0.0;3000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL094;0.0;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000033;53.653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL099;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL100;0.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL101;0.0;4000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000070;-0.435;15000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL105;0.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL108;0.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL109;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL110;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000125;0.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL112;0.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL114;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL118;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000167;387.571;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL120;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000186;290.38;30000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL124;0.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000228;0.009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000229;-41.804;20000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL128;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000230;-300.008;30000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000231;-0.116;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL131;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL132;0.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL133;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL134;0.0;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL136;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL138;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL139;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL141;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000233;0.0;60000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL146;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL147;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL148;0.0;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL149;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL150;0.0;3000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL152;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000966;3027.799;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000235;7.72;20000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL156;0.0;50000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL158;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000236;295.596;50000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000237;1060.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL161;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000238;0.0;3500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000239;369.461;29000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL164;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL165;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL167;0.0;25000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000240;-262.977;60000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL169;0.0;2500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL170;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL171;0.0;50000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL173;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL175;0.0;8000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL176;0.0;2500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL178;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000241;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL180;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL181;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL182;0.0;3000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000242;2.669;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000243;704.92;35000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000244;-2.045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL188;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000245;46.993;30000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000246;0.0;40000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL191;0.0;50000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000247;-168.669;15000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL193;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000248;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000249;140.389;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000250;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL197;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL198;0.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL199;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL200;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL201;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL202;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL203;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL204;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL206;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL208;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL209;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL210;0.0;4000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL213;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000251;2.8;7000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL215;0.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL216;0.0;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL217;0.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL218;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL219;0.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL220;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL221;0.0;7000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000252;2.584;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL223;0.0;2500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL224;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL225;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000253;-207.365;40000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL228;0.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL229;0.0;2500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000255;-6630.761;20000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL231;0.0;2500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL232;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000256;5999.749;20000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL234;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL235;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL237;0.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000258;-3850.393;40000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL239;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000259;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL241;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL243;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000260;453166.171;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL246;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000261;336.905;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL248;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL249;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000262;66.792;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL251;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL252;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000263;-0.001;15000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL255;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL258;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL259;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL260;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL261;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000264;835.91;30000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL266;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL267;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL268;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL269;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL270;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4110000266;34.267;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL273;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CL275;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
